Season,Week,Name,Winner,Sex,Place,Season_players,OTEV_players,Post_OTEV_weeks
7,7,Voo Doo Dolls,Janelle,F,3,14,8,5
8,8,Catscratch Veto,Eric,M,5,16,9,4
9,8,OTEV the Great and Powerful Rhyming Rain God,Ryan,M,2,13,6,4
11,7,OTEV the ape: Let's go Bananas,Jeff,M,5,13,7,2
12,8,Otev the Brodway Clam,Enzo,M,3,14,7,4
13,9,Otev the Sweet-Toothed Shark,Adam,M,3,16,8,5
14,8,OTEV the aAbsent Minded Alien,Dan,M,2,16,9,7
15,8,OTEV the Broken Hearted Beaver,Elissa,F,6,16,9,3
16,7,OTEV the Pissed-Off Penguin,Zach,M,10,17,11,1
17,8,OTEV the Rockin' Roll,Liz,F,2,16,9,7
18,5,OTEV the Dope DJ,Michelle,F,7,13,9,2
19,6,OTEV the Possessed Piglet,Mark,M,9,17,12,3
20,7,OTEV the Sneezy Skunk,Tyler,M,2,16,10,8
21,7,OTEV the Paranoid Pigeon,Tommy,M,5,16,10,5
22,8,OTEV the Psychedelic Salamander,Cody,M,1,16,9,8
23,6,OTEV the Jacked Jellyfish,Alysssa,F,7,16,11,4
24,5,OTEV the Singing Stageroach,Michael,M,6,16,12,6
